Column,Year,Age,Sex,Participant,Casualty,Total
141,2005,21 - 24 years,Female,Car passengers,Killed,5
142,2005,21 - 24 years,Female,Car drivers,Injured,213
143,2005,21 - 24 years,Female,Car drivers,Killed,6
144,2005,25 - 34 years,Male,Pedestrians,Injured,76
145,2005,25 - 34 years,Male,Pedestrians,Killed,4
146,2005,25 - 34 years,Male,Pedal cyclists,Injured,35
147,2005,25 - 34 years,Male,Pedal cyclists,Killed,3
148,2005,25 - 34 years,Male,Other road users,Injured,216
149,2005,25 - 34 years,Male,Other road users,Killed,6
150,2005,25 - 34 years,Male,Motor cyclists,Injured,147
151,2005,25 - 34 years,Male,Motor cyclists,Killed,18
152,2005,25 - 34 years,Male,Car passengers,Injured,113
153,2005,25 - 34 years,Male,Car passengers,Killed,8
154,2005,25 - 34 years,Male,Car drivers,Injured,518
155,2005,25 - 34 years,Male,Car drivers,Killed,19
156,2005,25 - 34 years,Female,Pedestrians,Injured,58
157,2005,25 - 34 years,Female,Pedestrians,Killed,2
158,2005,25 - 34 years,Female,Pedal cyclists,Injured,8
159,2005,25 - 34 years,Female,Pedal cyclists,Killed,0
160,2005,25 - 34 years,Female,Other road users,Injured,36
161,2005,25 - 34 years,Female,Other road users,Killed,2
162,2005,25 - 34 years,Female,Motor cyclists,Injured,13
163,2005,25 - 34 years,Female,Motor cyclists,Killed,1
164,2005,25 - 34 years,Female,Car passengers,Injured,149
165,2005,25 - 34 years,Female,Car passengers,Killed,4
166,2005,25 - 34 years,Female,Car drivers,Injured,448
167,2005,25 - 34 years,Female,Car drivers,Killed,10
168,2005,35 - 44 years,Male,Pedestrians,Injured,62
169,2005,35 - 44 years,Male,Pedestrians,Killed,2
170,2005,35 - 44 years,Male,Pedal cyclists,Injured,20
171,2005,35 - 44 years,Male,Pedal cyclists,Killed,1
172,2005,35 - 44 years,Male,Other road users,Injured,130
173,2005,35 - 44 years,Male,Other road users,Killed,4
174,2005,35 - 44 years,Male,Motor cyclists,Injured,92
175,2005,35 - 44 years,Male,Motor cyclists,Killed,12
176,2005,35 - 44 years,Male,Car passengers,Injured,59
177,2005,35 - 44 years,Male,Car passengers,Killed,3
178,2005,35 - 44 years,Male,Car drivers,Injured,304
179,2005,35 - 44 years,Male,Car drivers,Killed,16
180,2005,35 - 44 years,Female,Pedestrians,Injured,34
181,2005,35 - 44 years,Female,Pedestrians,Killed,1
182,2005,35 - 44 years,Female,Pedal cyclists,Injured,9
183,2005,35 - 44 years,Female,Pedal cyclists,Killed,0
184,2005,35 - 44 years,Female,Other road users,Injured,20
185,2005,35 - 44 years,Female,Other road users,Killed,0
186,2005,35 - 44 years,Female,Motor cyclists,Injured,8
187,2005,35 - 44 years,Female,Motor cyclists,Killed,0
188,2005,35 - 44 years,Female,Car passengers,Injured,84
189,2005,35 - 44 years,Female,Car passengers,Killed,4
190,2005,35 - 44 years,Female,Car drivers,Injured,277
191,2005,35 - 44 years,Female,Car drivers,Killed,2
192,2005,45 - 54 years,Male,Pedestrians,Injured,33
193,2005,45 - 54 years,Male,Pedestrians,Killed,4
