,Column,Year,Age,Sex,Participant,Casualty,Total
261,261,2005,65 years and over,Female,Car passengers,Killed,8
262,262,2005,65 years and over,Female,Car drivers,Injured,101
263,263,2005,65 years and over,Female,Car drivers,Killed,5
264,264,2005,Age unknown,Male,Pedestrians,Injured,26
265,265,2005,Age unknown,Male,Pedestrians,Killed,1
266,266,2005,Age unknown,Male,Pedal cyclists,Injured,9
267,267,2005,Age unknown,Male,Pedal cyclists,Killed,0
268,268,2005,Age unknown,Male,Other road users,Injured,25
269,269,2005,Age unknown,Male,Other road users,Killed,0
270,270,2005,Age unknown,Male,Motor cyclists,Injured,12
271,271,2005,Age unknown,Male,Motor cyclists,Killed,0
272,272,2005,Age unknown,Male,Car passengers,Injured,22
273,273,2005,Age unknown,Male,Car passengers,Killed,0
274,274,2005,Age unknown,Male,Car drivers,Injured,35
275,275,2005,Age unknown,Male,Car drivers,Killed,0
276,276,2005,Age unknown,Female,Pedestrians,Injured,21
277,277,2005,Age unknown,Female,Pedestrians,Killed,0
278,278,2005,Age unknown,Female,Pedal cyclists,Injured,3
279,279,2005,Age unknown,Female,Pedal cyclists,Killed,0
280,280,2005,Age unknown,Female,Other road users,Injured,12
281,281,2005,Age unknown,Female,Other road users,Killed,0
282,282,2005,Age unknown,Female,Motor cyclists,Injured,1
283,283,2005,Age unknown,Female,Motor cyclists,Killed,0
284,284,2005,Age unknown,Female,Car passengers,Injured,32
285,285,2005,Age unknown,Female,Car passengers,Killed,1
286,286,2005,Age unknown,Female,Car drivers,Injured,31
287,287,2005,Age unknown,Female,Car drivers,Killed,0
288,288,2006,00 - 05 years,Male,Pedestrians,Injured,32
289,289,2006,00 - 05 years,Male,Pedestrians,Killed,1
290,290,2006,00 - 05 years,Male,Pedal cyclists,Injured,0
291,291,2006,00 - 05 years,Male,Pedal cyclists,Killed,0
292,292,2006,00 - 05 years,Male,Other road users,Injured,6
293,293,2006,00 - 05 years,Male,Other road users,Killed,0
294,294,2006,00 - 05 years,Male,Motor cyclists,Injured,0
295,295,2006,00 - 05 years,Male,Motor cyclists,Killed,0
296,296,2006,00 - 05 years,Male,Car passengers,Injured,51
297,297,2006,00 - 05 years,Male,Car passengers,Killed,4
298,298,2006,00 - 05 years,Male,Car drivers,Injured,0
299,299,2006,00 - 05 years,Male,Car drivers,Killed,0
300,300,2006,00 - 05 years,Female,Pedestrians,Injured,16
301,301,2006,00 - 05 years,Female,Pedestrians,Killed,2
302,302,2006,00 - 05 years,Female,Pedal cyclists,Injured,0
303,303,2006,00 - 05 years,Female,Pedal cyclists,Killed,0
304,304,2006,00 - 05 years,Female,Other road users,Injured,2
305,305,2006,00 - 05 years,Female,Other road users,Killed,0
306,306,2006,00 - 05 years,Female,Motor cyclists,Injured,1
307,307,2006,00 - 05 years,Female,Motor cyclists,Killed,0
308,308,2006,00 - 05 years,Female,Car passengers,Injured,54
309,309,2006,00 - 05 years,Female,Car passengers,Killed,2
310,310,2006,00 - 05 years,Female,Car drivers,Injured,0
311,311,2006,00 - 05 years,Female,Car drivers,Killed,0
312,312,2006,06 - 09 years,Male,Pedestrians,Injured,44
313,313,2006,06 - 09 years,Male,Pedestrians,Killed,2
314,314,2006,06 - 09 years,Male,Pedal cyclists,Injured,2
315,315,2006,06 - 09 years,Male,Pedal cyclists,Killed,0
316,316,2006,06 - 09 years,Male,Other road users,Injured,1
317,317,2006,06 - 09 years,Male,Other road users,Killed,0
318,318,2006,06 - 09 years,Male,Motor cyclists,Injured,0
319,319,2006,06 - 09 years,Male,Motor cyclists,Killed,0
320,320,2006,06 - 09 years,Male,Car passengers,Injured,33
321,321,2006,06 - 09 years,Male,Car passengers,Killed,1
322,322,2006,06 - 09 years,Male,Car drivers,Injured,0
323,323,2006,06 - 09 years,Male,Car drivers,Killed,0
324,324,2006,06 - 09 years,Female,Pedestrians,Injured,27
325,325,2006,06 - 09 years,Female,Pedestrians,Killed,0
326,326,2006,06 - 09 years,Female,Pedal cyclists,Injured,2
327,327,2006,06 - 09 years,Female,Pedal cyclists,Killed,0
328,328,2006,06 - 09 years,Female,Other road users,Injured,7
329,329,2006,06 - 09 years,Female,Other road users,Killed,0
330,330,2006,06 - 09 years,Female,Motor cyclists,Injured,0
331,331,2006,06 - 09 years,Female,Motor cyclists,Killed,0
332,332,2006,06 - 09 years,Female,Car passengers,Injured,41
333,333,2006,06 - 09 years,Female,Car passengers,Killed,1
334,334,2006,06 - 09 years,Female,Car drivers,Injured,0
335,335,2006,06 - 09 years,Female,Car drivers,Killed,0
336,336,2006,10 - 14 years,Male,Pedestrians,Injured,44
337,337,2006,10 - 14 years,Male,Pedestrians,Killed,0
338,338,2006,10 - 14 years,Male,Pedal cyclists,Injured,18
339,339,2006,10 - 14 years,Male,Pedal cyclists,Killed,0
340,340,2006,10 - 14 years,Male,Other road users,Injured,10
341,341,2006,10 - 14 years,Male,Other road users,Killed,0
342,342,2006,10 - 14 years,Male,Motor cyclists,Injured,3
343,343,2006,10 - 14 years,Male,Motor cyclists,Killed,0
344,344,2006,10 - 14 years,Male,Car passengers,Injured,45
345,345,2006,10 - 14 years,Male,Car passengers,Killed,1
346,346,2006,10 - 14 years,Male,Car drivers,Injured,0
347,347,2006,10 - 14 years,Male,Car drivers,Killed,0
348,348,2006,10 - 14 years,Female,Pedestrians,Injured,34
349,349,2006,10 - 14 years,Female,Pedestrians,Killed,1
350,350,2006,10 - 14 years,Female,Pedal cyclists,Injured,2
351,351,2006,10 - 14 years,Female,Pedal cyclists,Killed,0
352,352,2006,10 - 14 years,Female,Other road users,Injured,9
353,353,2006,10 - 14 years,Female,Other road users,Killed,1
354,354,2006,10 - 14 years,Female,Motor cyclists,Injured,0
355,355,2006,10 - 14 years,Female,Motor cyclists,Killed,0
356,356,2006,10 - 14 years,Female,Car passengers,Injured,55
357,357,2006,10 - 14 years,Female,Car passengers,Killed,0
358,358,2006,10 - 14 years,Female,Car drivers,Injured,1
359,359,2006,10 - 14 years,Female,Car drivers,Killed,0
360,360,2006,15 - 17 years,Male,Pedestrians,Injured,27
361,361,2006,15 - 17 years,Male,Pedestrians,Killed,1
362,362,2006,15 - 17 years,Male,Pedal cyclists,Injured,4
363,363,2006,15 - 17 years,Male,Pedal cyclists,Killed,0
364,364,2006,15 - 17 years,Male,Other road users,Injured,24
365,365,2006,15 - 17 years,Male,Other road users,Killed,2
366,366,2006,15 - 17 years,Male,Motor cyclists,Injured,28
367,367,2006,15 - 17 years,Male,Motor cyclists,Killed,1
368,368,2006,15 - 17 years,Male,Car passengers,Injured,96
369,369,2006,15 - 17 years,Male,Car passengers,Killed,4
370,370,2006,15 - 17 years,Male,Car drivers,Injured,50
371,371,2006,15 - 17 years,Male,Car drivers,Killed,5
372,372,2006,15 - 17 years,Female,Pedestrians,Injured,26
373,373,2006,15 - 17 years,Female,Pedestrians,Killed,2
374,374,2006,15 - 17 years,Female,Pedal cyclists,Injured,1
375,375,2006,15 - 17 years,Female,Pedal cyclists,Killed,0
376,376,2006,15 - 17 years,Female,Other road users,Injured,11
377,377,2006,15 - 17 years,Female,Other road users,Killed,0
378,378,2006,15 - 17 years,Female,Motor cyclists,Injured,1
379,379,2006,15 - 17 years,Female,Motor cyclists,Killed,0
380,380,2006,15 - 17 years,Female,Car passengers,Injured,119
381,381,2006,15 - 17 years,Female,Car passengers,Killed,2
382,382,2006,15 - 17 years,Female,Car drivers,Injured,19
383,383,2006,15 - 17 years,Female,Car drivers,Killed,1
384,384,2006,18 - 20 years,Male,Pedestrians,Injured,27
385,385,2006,18 - 20 years,Male,Pedestrians,Killed,3
386,386,2006,18 - 20 years,Male,Pedal cyclists,Injured,7
387,387,2006,18 - 20 years,Male,Pedal cyclists,Killed,0
388,388,2006,18 - 20 years,Male,Other road users,Injured,56
389,389,2006,18 - 20 years,Male,Other road users,Killed,2
390,390,2006,18 - 20 years,Male,Motor cyclists,Injured,24
391,391,2006,18 - 20 years,Male,Motor cyclists,Killed,2
392,392,2006,18 - 20 years,Male,Car passengers,Injured,154
393,393,2006,18 - 20 years,Male,Car passengers,Killed,7
394,394,2006,18 - 20 years,Male,Car drivers,Injured,264
395,395,2006,18 - 20 years,Male,Car drivers,Killed,15
396,396,2006,18 - 20 years,Female,Pedestrians,Injured,31
397,397,2006,18 - 20 years,Female,Pedestrians,Killed,1
398,398,2006,18 - 20 years,Female,Pedal cyclists,Injured,1
399,399,2006,18 - 20 years,Female,Pedal cyclists,Killed,0
400,400,2006,18 - 20 years,Female,Other road users,Injured,12
401,401,2006,18 - 20 years,Female,Other road users,Killed,0
402,402,2006,18 - 20 years,Female,Motor cyclists,Injured,3
403,403,2006,18 - 20 years,Female,Motor cyclists,Killed,0
404,404,2006,18 - 20 years,Female,Car passengers,Injured,157
405,405,2006,18 - 20 years,Female,Car passengers,Killed,8
406,406,2006,18 - 20 years,Female,Car drivers,Injured,134
407,407,2006,18 - 20 years,Female,Car drivers,Killed,3
408,408,2006,21 - 24 years,Male,Pedestrians,Injured,46
409,409,2006,21 - 24 years,Male,Pedestrians,Killed,4
410,410,2006,21 - 24 years,Male,Pedal cyclists,Injured,8
411,411,2006,21 - 24 years,Male,Pedal cyclists,Killed,1
412,412,2006,21 - 24 years,Male,Other road users,Injured,81
413,413,2006,21 - 24 years,Male,Other road users,Killed,4
414,414,2006,21 - 24 years,Male,Motor cyclists,Injured,40
415,415,2006,21 - 24 years,Male,Motor cyclists,Killed,3
416,416,2006,21 - 24 years,Male,Car passengers,Injured,131
417,417,2006,21 - 24 years,Male,Car passengers,Killed,7
418,418,2006,21 - 24 years,Male,Car drivers,Injured,298
419,419,2006,21 - 24 years,Male,Car drivers,Killed,27
420,420,2006,21 - 24 years,Female,Pedestrians,Injured,26
421,421,2006,21 - 24 years,Female,Pedestrians,Killed,0
422,422,2006,21 - 24 years,Female,Pedal cyclists,Injured,4
423,423,2006,21 - 24 years,Female,Pedal cyclists,Killed,0
424,424,2006,21 - 24 years,Female,Other road users,Injured,14
425,425,2006,21 - 24 years,Female,Other road users,Killed,0
426,426,2006,21 - 24 years,Female,Motor cyclists,Injured,6
427,427,2006,21 - 24 years,Female,Motor cyclists,Killed,0
428,428,2006,21 - 24 years,Female,Car passengers,Injured,102
429,429,2006,21 - 24 years,Female,Car passengers,Killed,4
430,430,2006,21 - 24 years,Female,Car drivers,Injured,202
431,431,2006,21 - 24 years,Female,Car drivers,Killed,4
432,432,2006,25 - 34 years,Male,Pedestrians,Injured,63
433,433,2006,25 - 34 years,Male,Pedestrians,Killed,6
434,434,2006,25 - 34 years,Male,Pedal cyclists,Injured,38
435,435,2006,25 - 34 years,Male,Pedal cyclists,Killed,1
436,436,2006,25 - 34 years,Male,Other road users,Injured,203
437,437,2006,25 - 34 years,Male,Other road users,Killed,3
438,438,2006,25 - 34 years,Male,Motor cyclists,Injured,155
439,439,2006,25 - 34 years,Male,Motor cyclists,Killed,10
440,440,2006,25 - 34 years,Male,Car passengers,Injured,144
441,441,2006,25 - 34 years,Male,Car passengers,Killed,18
442,442,2006,25 - 34 years,Male,Car drivers,Injured,470
443,443,2006,25 - 34 years,Male,Car drivers,Killed,26
444,444,2006,25 - 34 years,Female,Pedestrians,Injured,45
445,445,2006,25 - 34 years,Female,Pedestrians,Killed,0
446,446,2006,25 - 34 years,Female,Pedal cyclists,Injured,12
447,447,2006,25 - 34 years,Female,Pedal cyclists,Killed,2
448,448,2006,25 - 34 years,Female,Other road users,Injured,27
449,449,2006,25 - 34 years,Female,Other road users,Killed,1
450,450,2006,25 - 34 years,Female,Motor cyclists,Injured,19
451,451,2006,25 - 34 years,Female,Motor cyclists,Killed,1
452,452,2006,25 - 34 years,Female,Car passengers,Injured,137
453,453,2006,25 - 34 years,Female,Car passengers,Killed,3
454,454,2006,25 - 34 years,Female,Car drivers,Injured,460
